series_name,price,trade_date
爪子刀（★） | 渐变大理石 (崭新出厂),24666.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),16000.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),15749.5,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),24688.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),15750.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),22497.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),15500.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),22666.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),15630.0,2025-07-18
爪子刀（★） | 渐变大理石 (崭新出厂),26666.0,2025-07-18
M9 刺刀（★） | 渐变大理石 (崭新出厂),11924.0,2025-07-18
M9 刺刀（★） | 渐变大理石 (崭新出厂),11888.0,2025-07-18
M9 刺刀（★） | 渐变大理石 (崭新出厂),11778.5,2025-07-18
M9 刺刀（★） | 渐变大理石 (崭新出厂),11570.0,2025-07-18
M9 刺刀（★） | 渐变大理石 (崭新出厂),11290.0,2025-07-17
M9 刺刀（★） | 渐变大理石 (崭新出厂),11280.0,2025-07-17
M9 刺刀（★） | 渐变大理石 (崭新出厂),11190.0,2025-07-17
M9 刺刀（★） | 渐变大理石 (崭新出厂),11105.82,2025-07-17
M9 刺刀（★） | 渐变大理石 (崭新出厂),11296.5,2025-07-17
蝴蝶刀（★）,20500.0,2025-07-18
蝴蝶刀（★）,20749.5,2025-07-18
蝴蝶刀（★）,20750.0,2025-07-18
蝴蝶刀（★）,20745.0,2025-07-18
蝴蝶刀（★）,20780.0,2025-07-18
蝴蝶刀（★）,20800.0,2025-07-18
蝴蝶刀（★）,20300.0,2025-07-18
蝴蝶刀（★）,20787.0,2025-07-18
蝴蝶刀（★）,20777.0,2025-07-18
锯齿爪刀（★） | 外表生锈 (战痕累累),2850.0,2025-07-19
锯齿爪刀（★） | 外表生锈 (战痕累累),2885.5,2025-07-19
锯齿爪刀（★） | 外表生锈 (战痕累累),2888.0,2025-07-18
锯齿爪刀（★） | 外表生锈 (战痕累累),2887.0,2025-07-18
锯齿爪刀（★） | 外表生锈 (战痕累累),2886.5,2025-07-18
锯齿爪刀（★） | 外表生锈 (战痕累累),2880.0,2025-07-17
锯齿爪刀（★） | 外表生锈 (战痕累累),2870.0,2025-07-17
锯齿爪刀（★） | 外表生锈 (战痕累累),2860.0,2025-07-17
锯齿爪刀（★） | 外表生锈 (战痕累累),2888.0,2025-07-17
锯齿爪刀（★） | 外表生锈 (战痕累累),2946.0,2025-07-16
M9 刺刀（★） | 森林 DDPAT (战痕累累),3799.5,2025-07-18
M9 刺刀（★） | 森林 DDPAT (战痕累累),3860.0,2025-07-14
M9 刺刀（★） | 森林 DDPAT (战痕累累),4100.0,2025-07-14
M9 刺刀（★） | 森林 DDPAT (战痕累累),4100.0,2025-07-13
M9 刺刀（★） | 森林 DDPAT (战痕累累),3660.0,2025-07-12
M9 刺刀（★） | 森林 DDPAT (战痕累累),3990.0,2025-07-11
M9 刺刀（★） | 森林 DDPAT (战痕累累),3989.0,2025-07-09
M9 刺刀（★） | 森林 DDPAT (战痕累累),3980.0,2025-07-09
M9 刺刀（★） | 森林 DDPAT (战痕累累),3840.0,2025-07-08
M9 刺刀（★） | 森林 DDPAT (战痕累累),3770.0,2025-07-08
