Index,Company,sector,annual_return_log,Std,Skewness,Kurtosis
0,MMM,Industrials,0.016322113707062696,0.3886253483564675,-0.236725089,4.465973784004677
1,ABT,Health Care,0.21297303367028078,0.4058824840264735,0.06769255831403619,3.3637874689289458
2,ABBV,Health Care,0.22168301564286472,0.3627775182117899,-0.603098849,7.175062672931084
3,ABMD,Health Care,0.47340260846274373,0.4429435984587447,-0.406025417,2.790757093766824
4,ACN,Information Technology,0.2542357783288885,0.43055218375087145,0.2507000034306509,3.232463367255824
5,ATVI,Communication Services,0.40781042282062885,0.4019338859190359,-0.163729734,2.5115594602166658
6,ADBE,Information Technology,0.38545711848685,0.4966778308152642,-0.118666241,5.957377668608331
7,AMD,Information Technology,0.654908207023311,0.627015729057617,-0.012928692,2.4338122988495003
8,AAP,Consumer Discretionary,0.08733025655709084,0.48824908450852744,-1.371947337,8.915028128255146
9,AES,Utilities,0.13999656708383137,0.6127738981577322,-1.046116699,5.578913240479311
10,AFL,Financials,-0.180478139,0.6002597522052712,0.032863132507602554,10.87425755162706
11,A,Health Care,0.3035259488428909,0.3800937987204379,-0.278687334,3.5306634325237205
12,APD,Materials,0.14222445638879763,0.45636457233042926,-0.412775554,5.507642043377983
13,AKAM,Information Technology,0.11998374425037651,0.3939992631861522,-0.42643679,3.1650144035255954
14,ALK,Industrials,-0.273158558,0.8357338310183985,-0.613202883,5.821756654783169
15,ALB,Materials,0.614294382173271,0.6398843792898468,-0.695764453,3.31515612050738
16,ARE,Real Estate,0.07851003772853457,0.43865614723105667,-1.014726794,11.696437302472575
17,ALXN,Health Care,0.3451265750408913,0.48391452455287887,2.5392907605388904,20.247925627684992
18,ALGN,Health Care,0.7167068578612712,0.7124968510320472,1.0516094252439685,10.636416842887062
19,ALLE,Industrials,-0.112079568,0.47697737846877264,-0.506265258,4.191385849984478
20,LNT,Utilities,-0.114663235,0.39958004108364653,-0.040885406,3.523786609285179
21,ALL,Financials,-0.089479134,0.4505344337527575,-0.853317237,5.591517293685808
22,GOOGL,Communication Services,0.16988301122297667,0.3985804279837757,-0.43830855,3.8448727700496645
23,GOOG,Communication Services,0.1713764942671716,0.3970923513816904,-0.388332266,3.507083015869804
24,MO,Consumer Staples,-0.112929822,0.37792288889168024,-0.351816022,3.1339447930332947
25,AMZN,Consumer Discretionary,0.5715605451334714,0.3959058762216661,-0.040570516,1.035976895626236
26,AMCR,Materials,0.12326348886605434,0.4959830821438309,-0.608248017,8.685177850771623
27,AEE,Utilities,-0.01573539,0.4492783436177574,-0.291905225,9.751501662319395
28,AAL,Industrials,-0.560486608,1.047543191198165,0.6880755071366891,5.908599177236033
29,AEP,Utilities,-0.176349827,0.39979574711018423,-0.158412231,5.980732011165838
30,AXP,Financials,-0.102587622,0.6540787900040727,0.7380199622464325,6.553876120152882
31,AIG,Financials,-0.304499215,0.7495180350610624,-0.758403675,4.563565353256351
32,AMT,Real Estate,-0.06412657,0.45404689668885323,-0.15886199,6.533664606047639
33,AWK,Utilities,0.13284672351383695,0.4424848856468529,-0.094341451,7.823395944465673
34,AMP,Financials,0.1322767595404328,0.7188420618668108,-0.482807802,9.077901260926545
35,ABC,Health Care,0.09285516457327936,0.42735233781116305,0.3769393968451549,4.2538838378844765
36,AME,Industrials,0.17532985722559372,0.48491964122198966,-1.11061432,10.573703370911332
37,AMGN,Health Care,-0.017155739,0.39337427611421055,0.5754720097890353,3.1687471596385723
38,APH,Information Technology,0.20198703018399125,0.4288811963265458,-0.936738662,5.626019573324765
39,ADI,Information Technology,0.21409916124120731,0.5218723049553586,-0.598902961,6.9959342052454705
40,ANSS,Information Technology,0.28361901459321653,0.47616201845742967,0.14133573429798776,4.99618907105806
41,ANTM,Health Care,0.014585458102745672,0.5666467429560845,-0.171816968,5.736441888991093
42,AON,Financials,-0.00606301,0.4152561930805382,-0.720087983,13.44209488337803
43,AOS,Industrials,0.2097211236036713,0.39297078014326625,-0.313667869,1.274347342438788
44,APA,Energy,-0.806620406,1.3701417106256941,-3.330859771,28.129409703368577
45,AAPL,Information Technology,0.5177753257954204,0.48139683140933626,-0.283569215,3.5291454831142905
46,AMAT,Information Technology,0.35117073172303814,0.6198471650342299,-1.086146744,6.353877121576433
47,APTV,Consumer Discretionary,0.32934689172753706,0.7768080731923174,-2.22290631,17.04545894233284
48,ADM,Consumer Staples,0.1311684233362142,0.4155397184111556,-0.268762473,3.0306354002089684
49,ANET,Information Technology,0.27941800078478835,0.5043500172169924,0.07231658219404667,4.661008377505533
50,AJG,Financials,0.2988837334108616,0.42418578935295664,-1.201894697,9.897922452809572
51,AIZ,Financials,0.016905638928606543,0.5133278099497895,-1.480768383,11.720494121465487
52,T,Communication Services,-0.247847615,0.37005180244078834,-0.180829867,3.971944422174806
53,ATO,Utilities,-0.2276329,0.4300448593940193,0.24387452923981015,6.764822557363843
54,ADSK,Information Technology,0.4679649567225627,0.5241643804363579,-0.403420169,3.805539841906774
55,ADP,Information Technology,0.03435633194733041,0.46588917618969183,-0.682855919,6.972991897886695
56,AZO,Consumer Discretionary,0.032818842740635394,0.43699627601922886,-1.65328715,11.724654953170235
57,AVB,Real Estate,-0.320756592,0.5276683981532269,-0.602731205,5.830043931001605
58,AVY,Materials,0.18517832120459785,0.4986148806450579,0.4520059222648986,9.875840849122577
